id,name,species_id,life_span,temperament,origin,country_codes,country_code,description,bred_for,perfect_for,breed_group,history,reference_image_id,weight,height,image,weight_metric_raw,weight_min,weight_max,weight_mean,height_metric_raw,height_min,height_max,height_mean,life_min,life_max,life_mean,size_cat,temperament_list
30,Basset Hound,2,12-13,"Friendly, calm, gentle, loyal, independent, devoted",France,FR,FR,"Low-slung, heavy-boned scent hound with distinctive long, velvety ears, mournful expression, and loose skin. Known for powerful tracking ability and calm demeanor.",,,Hound,"Developed by French aristocrats from hounds bred at the Abbey of St. Hubert for hunting small game in dense cover. Low-slung body perfected for trailing rabbits and hare, later refined in England for pack hunting.",s0vseNSFBF,"{'imperial': '40-65', 'metric': '18-30'}","{'imperial': '13-15', 'metric': '33-38'}","{'id': 's0vseNSFBF', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/74b9e98d-60c5-484d-ad62-4db57a0bc47e.jpeg', 'width': 1264, 'height': 848}",18-30,18.0,30.0,24.0,33-38,33.0,38.0,35.5,12.0,13.0,12.5,medium,"['Friendly', 'calm', 'gentle', 'loyal', 'independent', 'devoted']"
31,Beagle,2,10-15,"Friendly, gentle, alert, outgoing, curious, energetic",England,GB,GB,"Compact, merry scent hound with sturdy build, distinctive tri-color or bi-color coat pattern, and cheerful disposition. Originally bred for hunting hare in packs with a distinctive baying voice.",,,Hound,"The modern Beagle was developed in Great Britain around the 1830s from various English hounds. Bred as 'foot hounds' for hare hunting, with hunters following on foot rather than horseback.",5HQ3ZEO0IV,"{'imperial': '20-30', 'metric': '9-14'}","{'imperial': 'Male: 13-16; Female: 13-15', 'metric': 'Male: 33-41; Female: 33-38'}","{'id': '5HQ3ZEO0IV', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/076906f8-69d2-41be-957b-9542e1e36bbc.jpeg', 'width': 1152, 'height': 928}",9-14,9.0,14.0,11.5,Male: 33-41; Female: 33-38,33.0,41.0,36.25,10.0,15.0,12.5,small,"['Friendly', 'gentle', 'alert', 'outgoing', 'curious', 'energetic']"
32,Bearded Collie,2,12-14,"Intelligent, energetic, playful, affectionate, alert, confident, outgoing",Scotland,GB,GB,"Medium-sized herding dog with long, shaggy double coat and animated expression, known for its boisterous, charismatic personality and distinctive bouncing gait",,,Herding,"Ancient Scottish herding breed developed to drive sheep and cattle in harsh Highland conditions, bred for hardiness, intelligence, and ability to work independently. Nearly extinct after World War II but revived through careful breeding programs. Recognized by Kennel Club in 1959 and AKC in 1977.",tqwqAlg5ag,"{'imperial': '45-55', 'metric': '20-25'}","{'imperial': 'Male: 21-22; Female: 20-21', 'metric': 'Male: 53-56; Female: 51-53'}","{'id': 'tqwqAlg5ag', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/9840e3d7-0620-4702-a234-0c173d9ec304.jpeg', 'width': 1088, 'height': 976}",20-25,20.0,25.0,22.5,Male: 53-56; Female: 51-53,51.0,56.0,53.25,12.0,14.0,13.0,medium,"['Intelligent', 'energetic', 'playful', 'affectionate', 'alert', 'confident', 'outgoing']"
33,Beauceron,2,10-12,"Intelligent, loyal, protective, courageous, confident",France,FR,FR,"Large, powerful French herding dog with distinctive double dewclaws, short double coat, and black and tan markings. Known for its self-assured demeanor and versatility as both guardian and companion.",,,Herding,"Ancient French herding breed also known as Berger de Beauce, developed in plains surrounding Paris for herding and protecting sheep and cattle. Shares ancestry with the Briard, nearly extinct after World War II but saved by dedicated breeders. Also used for military and police work.",oPmW0UoJdM,"{'imperial': '70-110', 'metric': '32-50'}","{'imperial': 'Male: 25.5-27.5; Female: 24-26.5', 'metric': 'Male: 65-70; Female: 61-68'}","{'id': 'oPmW0UoJdM', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/088fe40b-4fac-4bf7-a875-26a1738e744d.jpeg', 'width': 1168, 'height': 912}",32-50,32.0,50.0,41.0,Male: 65-70; Female: 61-68,61.0,70.0,66.0,10.0,12.0,11.0,large,"['Intelligent', 'loyal', 'protective', 'courageous', 'confident']"
34,Bedlington Terrier,2,11-16,"Intelligent, affectionate, energetic, playful, courageous, alert",England (Northumberland),GB,GB,"Distinctive lamb-like terrier with graceful, lithe build, arched back, pear-shaped head, and crisp curly coat that gives it a unique appearance among terrier breeds",,,Terrier,"Developed in Bedlington, Northumberland in the early 19th century for hunting vermin in mines and farms. Known as the 'Gypsy Dog' due to use by poachers. Lineage includes Dandie Dinmont Terrier, Whippet, and Otterhound crosses. Recognized by The Kennel Club in 1877 and AKC in 1886.",NxHnoTkC1h,"{'imperial': '17-23', 'metric': '8-10'}","{'imperial': 'Male: 16-17.5; Female: 15-16.5', 'metric': 'Male: 41-44; Female: 38-42'}","{'id': 'NxHnoTkC1h', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/3c9deb26-4c93-4dd0-86db-17e45ba11de3.jpeg', 'width': 1200, 'height': 896}",8-10,8.0,10.0,9.0,Male: 41-44; Female: 38-42,38.0,44.0,41.25,11.0,16.0,13.5,small,"['Intelligent', 'affectionate', 'energetic', 'playful', 'courageous', 'alert']"
36,Belgian Malinois,2,,"Intelligent, confident, energetic, loyal, alert, work-focused, protective",Belgium,BE,BE,"Medium-sized, athletic herding dog that is squarely built with a proud carriage. Known for its intense intelligence and strong work ethic, particularly suited for police and military roles. Features a short fawn-to-mahogany coat with distinctive black mask and ears.",,,Herding,"Developed in the area around Malines, Belgium, in the late 19th century as one of four varieties of Belgian Shepherd dogs. Originally bred for herding ability and strong work ethic, quickly adopted by police forces and militaries worldwide. AKC recognized as distinct breed in 1959.",T2pFYAGO54,"{'imperial': 'Male: 60-80; Female: 40-60', 'metric': 'Male: 27-36; Female: 18-27'}","{'imperial': 'Male: 24-26; Female: 22-24', 'metric': 'Male: 61-66; Female: 56-61'}","{'id': 'T2pFYAGO54', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/e197d407-3e8d-4edd-adb7-daac0a4214fc.png', 'width': 2600, 'height': 2058}",Male: 27-36; Female: 18-27,18.0,36.0,27.0,Male: 61-66; Female: 56-61,56.0,66.0,61.0,,,,large,"['Intelligent', 'confident', 'energetic', 'loyal', 'alert', 'work-focused', 'protective']"
38,Belgian Tervuren,2,12-14,"Intelligent, courageous, alert, loyal, energetic",Belgium,BE,BE,"Elegant, athletic medium-sized herding dog with a long double coat ranging from rich fawn to mahogany with black overlay, known for intelligence, versatility and strong work drive",,,Herding,"One of four distinct Belgian sheepdog varieties developed in the late 1800s, named after the village of Tervuren. Originally used as a versatile herding and guard dog for flocks, prized for intelligence, trainability and work ethic",UiWT3Z6SNY,"{'imperial': 'Male: 55-75; Female: 45-60', 'metric': 'Male: 25-34; Female: 20-27'}","{'imperial': 'Male: 24-26; Female: 22-24', 'metric': 'Male: 61-66; Female: 56-61'}","{'id': 'UiWT3Z6SNY', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/0c0410c2-7267-4734-a076-e152a1b8d396.jpeg', 'width': 1408, 'height': 768}",Male: 25-34; Female: 20-27,20.0,34.0,26.5,Male: 61-66; Female: 56-61,56.0,66.0,61.0,12.0,14.0,13.0,medium,"['Intelligent', 'courageous', 'alert', 'loyal', 'energetic']"
41,Bernese Mountain Dog,2,7-10,"Calm, gentle, loyal, intelligent, affectionate, good-natured",Switzerland,CH,CH,"Large, strong, and sturdy working dog with a distinctive long tricolored coat and calm, gentle temperament. One of four types of Swiss Mountain Dogs, known for being good-natured, loyal, and an excellent family companion.",,,Working,"One of four types of Swiss Mountain Dogs originating in the canton of Bern. Served as all-purpose farm dogs for droving cattle, pulling carts to market, and watchdogs. Nearly extinct by early 1900s but revived through careful breeding programs",givys4YtVB,"{'imperial': 'Male: 80-115; Female: 70-95', 'metric': 'Male: 36-52; Female: 32-43'}","{'imperial': 'Male: 25-27.5; Female: 23-26', 'metric': 'Male: 64-70; Female: 58-66'}","{'id': 'givys4YtVB', 'url': 'https://cdn4.thedogapi.com/optimized/givys4YtVB.jpg', 'width': 896, 'height': 1184}",Male: 36-52; Female: 32-43,32.0,52.0,40.75,Male: 64-70; Female: 58-66,58.0,70.0,64.5,7.0,10.0,8.5,large,"['Calm', 'gentle', 'loyal', 'intelligent', 'affectionate', 'good-natured']"
42,Bichon Frisé,2,,"Happy, playful, affectionate, intelligent, gentle, energetic",France / Belgium,FR,FR,"A small, sturdy, and cheerful companion dog with a soft, curly white double coat, black eyes, and a lively, playful disposition",,,Non-Sporting,"Descended from the Barbet, a Mediterranean water spaniel. The breed was developed in France and became a popular companion dog for European nobility. The modern breed standard was established in France after World War I.",vxwDW0oGgi,"{'imperial': '12-18', 'metric': '5-8'}","{'imperial': '9.5-11.5', 'metric': '24-29'}","{'id': 'vxwDW0oGgi', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/35738179-7493-4377-b52e-3b8387e1a532.jpeg', 'width': 1216, 'height': 880}",5-8,5.0,8.0,6.5,24-29,24.0,29.0,26.5,,,,small,"['Happy', 'playful', 'affectionate', 'intelligent', 'gentle', 'energetic']"
43,Black and Tan Coonhound,2,10-12,"Friendly, outgoing, intelligent, alert, adaptable, easygoing",United States,US,US,"Large, powerful American-bred scent hound with distinctive black and tan coat pattern and long ears, known for its cold nose, loud bawling bark, and determined trailing ability",,,Hound,"Developed in the American South by frontiersmen in the 18th century, descending from English Foxhound, Bloodhound, and Talbot Hound crosses for raccoon hunting and tracking over rugged Appalachian terrain",G90Jx1n9YM,"{'imperial': '65-110', 'metric': '29-50'}","{'imperial': 'Male: 25-27; Female: 23-25', 'metric': 'Male: 64-69; Female: 58-64'}","{'id': 'G90Jx1n9YM', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/67602199-27c1-4ccb-8b7b-fc724809c63b.jpeg', 'width': 1088, 'height': 992}",29-50,29.0,50.0,39.5,Male: 64-69; Female: 58-64,58.0,69.0,63.75,10.0,12.0,11.0,large,"['Friendly', 'outgoing', 'intelligent', 'alert', 'adaptable', 'easygoing']"
45,Bloodhound,2,10-12,"Gentle, friendly, independent, alert, devoted, affectionate",Belgium,BE,BE,"Large, substantial scent hound with a noble, dignified expression, characterized by exceptional tracking ability, distinctive wrinkled face, long drooping ears, loose skin, and pendulous jowls. Renowned for its extraordinary sense of smell and unparalleled tracking abilities.",,,Hound,"Ancient breed developed by monks at the Abbey of Saint-Hubert in Belgium and France during medieval times. Later refined in England and valued for centuries for tracking game and people, eventually imported to the US for search and rescue work.",w4pWqWA1v1,"{'imperial': 'Male: 90-110; Female: 80-100', 'metric': 'Male: 41-50; Female: 36-45'}","{'imperial': 'Male: 25-27; Female: 23-25', 'metric': 'Male: 64-69; Female: 58-64'}","{'id': 'w4pWqWA1v1', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/2f5d5e94-a9ae-4d58-a781-ed685181997a.jpeg', 'width': 1232, 'height': 864}",Male: 41-50; Female: 36-45,36.0,50.0,43.0,Male: 64-69; Female: 58-64,58.0,69.0,63.75,10.0,12.0,11.0,large,"['Gentle', 'friendly', 'independent', 'alert', 'devoted', 'affectionate']"
47,Bluetick Coonhound,2,11-12,"Friendly, intelligent, loyal, devoted, work-focused",United States,US,US,"Large, athletic, and muscular scenthound with distinctive blue-ticked coat pattern and renowned 'cold nose' trailing ability, bred specifically for tracking and treeing raccoons",,,Hound,"Developed in Louisiana from French Grand Bleu de Gascogne hounds crossed with English Foxhounds, American Foxhounds, and other local coonhound breeds, perfected for raccoon hunting in American terrain",ajTVVTrLne,"{'imperial': 'Male: 55-80; Female: 45-65', 'metric': 'Male: 25-36; Female: 20-29'}","{'imperial': 'Male: 22-27; Female: 21-25', 'metric': 'Male: 56-69; Female: 53-64'}","{'id': 'ajTVVTrLne', 'url': 'https://cdn4.thedogapi.com/optimized/ajTVVTrLne.jpg', 'width': 1136, 'height': 928}",Male: 25-36; Female: 20-29,20.0,36.0,27.5,Male: 56-69; Female: 53-64,53.0,69.0,60.5,11.0,12.0,11.5,large,"['Friendly', 'intelligent', 'loyal', 'devoted', 'work-focused']"
48,Boerboel,2,9-11,"Confident, intelligent, loyal, protective, calm",South Africa,ZA,ZA,"Large, powerful mastiff-type guardian breed from South Africa with a muscular build, short dense coat, and confident temperament. Known as a family guardian, the name 'Boerboel' translates to 'farmer's dog' in Afrikaans.",,,Working,Developed by Dutch and other European settlers in South Africa starting in the 1600s from European mastiff breeds and native dogs. Bred as all-purpose farm dogs for protecting homesteads from predators.,RIFlrU0fUA,"{'imperial': 'Male: 150-200; Female: 110-150', 'metric': 'Male: 68-91; Female: 50-68'}","{'imperial': 'Male: 24-27; Female: 22-25', 'metric': 'Male: 61-69; Female: 56-64'}","{'id': 'RIFlrU0fUA', 'url': 'https://cdn4.thedogapi.com/optimized/RIFlrU0fUA.jpg', 'width': 1488, 'height': 720}",Male: 68-91; Female: 50-68,50.0,91.0,69.25,Male: 61-69; Female: 56-64,56.0,69.0,62.5,9.0,11.0,10.0,large,"['Confident', 'intelligent', 'loyal', 'protective', 'calm']"
50,Border Collie,2,12-15,"Intelligent, energetic, alert, work-focused, loyal, eager to please",Anglo-Scottish border region,GB,GB,"Medium-sized, highly intelligent, and athletic herding dog with keen expression and intense work drive, renowned for its instinctual ability to control livestock with its signature stare",,,Herding,"Developed by shepherds on the border of England and Scotland for herding sheep in hilly terrain, refined through selective breeding for working ability. The breed's lineage can be traced back to a single dog named Old Hemp, born in 1893.",ROJ6e1AeIE,"{'imperial': '30-55', 'metric': '14-25'}","{'imperial': 'Male: 19-22; Female: 18-21', 'metric': 'Male: 48-56; Female: 46-53'}","{'id': 'ROJ6e1AeIE', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/7ac26a12-d3bd-4939-a417-cf77f414fb0d.jpeg', 'width': 1136, 'height': 928}",14-25,14.0,25.0,19.5,Male: 48-56; Female: 46-53,46.0,56.0,50.75,12.0,15.0,13.5,medium,"['Intelligent', 'energetic', 'alert', 'work-focused', 'loyal', 'eager to please']"
51,Border Terrier,2,12-15,"Affectionate, intelligent, alert, energetic, courageous, adaptable",Border regions between England and Scotland,GB,GB,"Small, sturdy working terrier with weather-resistant wiry coat and distinctive otter-like head, bred for fox hunting with a plucky and affectionate nature",,,Terrier,Developed in the 18th century in the Cheviot Hills along the English-Scottish border by farmers and shepherds to hunt fox alongside foxhounds. Needed to be small enough to follow quarry into dens and burrows but tough enough to keep up with horses and work independently.,QfZBKCfJ1v,"{'imperial': 'Male: 13-15.5; Female: 11.5-14', 'metric': 'Male: 6-7; Female: 5-6.5'}","{'imperial': 'Male: 13-16; Female: 11-14', 'metric': 'Male: 33-41; Female: 28-36'}","{'id': 'QfZBKCfJ1v', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/6fcf6ce9-b2df-45c0-b154-1317df7b6c2c.jpeg', 'width': 1152, 'height': 928}",Male: 6-7; Female: 5-6.5,5.0,7.0,6.125,Male: 33-41; Female: 28-36,28.0,41.0,34.5,12.0,15.0,13.5,small,"['Affectionate', 'intelligent', 'alert', 'energetic', 'courageous', 'adaptable']"
53,Boston Terrier,2,11-13,"Friendly, intelligent, outgoing, playful","Boston, Massachusetts, United States",US,US,"Compact, short-tailed dog with distinctive flat face, erect ears, and smooth 'tuxedo' coat markings. Known as 'The American Gentleman' for its friendly and intelligent demeanor.",,,Non-Sporting,Developed in Boston in the 1870s from crossing English Bulldog with the now-extinct White English Terrier. Refined in the late 19th century and became one of the first American-developed breeds recognized by the AKC.,0JqHiVXBhZ,"{'imperial': '12-25', 'metric': '5-11'}","{'imperial': '15-17', 'metric': '38-43'}","{'id': '0JqHiVXBhZ', 'url': 'https://cdn4.thedogapi.com/optimized/0JqHiVXBhZ.jpg', 'width': 1200, 'height': 896}",5-11,5.0,11.0,8.0,38-43,38.0,43.0,40.5,11.0,13.0,12.0,small,"['Friendly', 'intelligent', 'outgoing', 'playful']"
54,Bouvier des Flandres,2,10-12,"Loyal, intelligent, protective, courageous, calm, gentle",Belgium (Flanders region),BE,BE,"Large, powerfully built herding dog with a rugged appearance and rough, tousled double coat. This compact breed gives the impression of great strength without heaviness and has a dense weather-resistant coat suited for farm work.",,,Herding,"Developed by monks in the Flanders region of medieval Europe as cattle herding and all-purpose farm dog. Used to drive cattle, pull carts, and serve as a watchdog. Nearly extinct after World War I but revived by dedicated breeders.",gB65JjRW5H,"{'imperial': '70-110', 'metric': '32-50'}","{'imperial': 'Male: 24.5-27.5; Female: 23.5-26.5', 'metric': 'Male: 62-70; Female: 60-67'}","{'id': 'gB65JjRW5H', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/be25309f-6190-40c9-b5b5-02630f873592.png', 'width': 2564, 'height': 2142}",32-50,32.0,50.0,41.0,Male: 62-70; Female: 60-67,60.0,70.0,64.75,10.0,12.0,11.0,large,"['Loyal', 'intelligent', 'protective', 'courageous', 'calm', 'gentle']"
55,Boxer,2,10-12,"Playful, energetic, loyal, intelligent, friendly, alert",Germany,DE,DE,"Medium to large, powerful and athletic working dog with a distinctive short-muzzled, flat face and short coat. Known for their fun-loving, bright temperament and expressive face, combining energy with loyalty.",,,Working,"Developed in late 19th century Germany from the now-extinct German Bullenbeisser (used for hunting large game like boar and bear) and English Bulldog, originally for bull-baiting and hunting, later refined for working and companion roles",uFPUHEvbID,"{'imperial': 'Male: 65-80; Female: 50-65', 'metric': 'Male: 29-36; Female: 23-29'}","{'imperial': 'Male: 23-25; Female: 21.5-23.5', 'metric': 'Male: 58-64; Female: 55-60'}","{'id': 'uFPUHEvbID', 'url': 'https://cdn4.thedogapi.com/optimized/uFPUHEvbID.jpg', 'width': 1232, 'height': 864}",Male: 29-36; Female: 23-29,23.0,36.0,29.25,Male: 58-64; Female: 55-60,55.0,64.0,59.25,10.0,12.0,11.0,large,"['Playful', 'energetic', 'loyal', 'intelligent', 'friendly', 'alert']"
56,Boykin Spaniel,2,10-15,"Friendly, energetic, eager to please, intelligent, adaptable","South Carolina, United States",US,US,"Medium-sized, energetic, and versatile flushing and retrieving spaniel with rich liver or chocolate brown coat and enthusiastic work ethic, especially in water. Known for their amiable disposition and compact build ideal for hunting from small boats.",,,Sporting,"Developed in early 1900s in South Carolina by L. Whitaker Boykin. Foundation sire was a small stray spaniel-type dog named 'Dumpy' who showed great hunting aptitude. Bred by crossing Chesapeake Bay Retrievers, Springer Spaniels, Cocker Spaniels, and American Water Spaniels for hunting in South Carolina swamps, particularly the Wateree River Swamp. Recognized as the state dog of South Carolina.",i3VwMxfPgP,"{'imperial': 'Male: 30-40; Female: 25-35', 'metric': 'Male: 14-18; Female: 11-16'}","{'imperial': 'Male: 15.5-18; Female: 14-16.5', 'metric': 'Male: 39-46; Female: 36-42'}","{'id': 'i3VwMxfPgP', 'url': 'https://cdn4.thedogapi.com/optimized/i3VwMxfPgP.jpg', 'width': 1264, 'height': 848}",Male: 14-18; Female: 11-16,11.0,18.0,14.75,Male: 39-46; Female: 36-42,36.0,46.0,40.75,10.0,15.0,12.5,medium,"['Friendly', 'energetic', 'eager to please', 'intelligent', 'adaptable']"
57,Bracco Italiano,2,10-14,"Gentle, intelligent, affectionate, loyal, calm, docile, adaptable",Italy,IT,IT,"Large, noble Italian pointing breed with sculpted head, distinctive orange and white or chestnut and white coat, and pendulous ears. A powerful and athletic dog of ancient Italian lineage, known for its endurance and gentle, intelligent nature.",,,Sporting,"One of the oldest pointing breeds in Europe with ancient origins dating back to the 4th-5th century BC. Developed as a versatile hunting dog for bird hunting in Italian terrain, adept at pointing and retrieving. The modern breed is thought to be a cross of the Piedmontese Pointer and the Lombard Pointer.",Sewp0Ubej3,"{'imperial': '55-88', 'metric': '25-40'}","{'imperial': 'Male: 23-26; Female: 21.5-24.5', 'metric': 'Male: 58-67; Female: 55-62'}","{'id': 'Sewp0Ubej3', 'url': 'https://cdn4.thedogapi.com/optimized/Sewp0Ubej3.jpg', 'width': 1168, 'height': 912}",25-40,25.0,40.0,32.5,Male: 58-67; Female: 55-62,55.0,67.0,60.5,10.0,14.0,12.0,large,"['Gentle', 'intelligent', 'affectionate', 'loyal', 'calm', 'docile', 'adaptable']"
58,Briard,2,10-12,"Loyal, intelligent, protective, confident, courageous, devoted",France,FR,FR,"Large, powerful French herding dog with a luxurious long wavy double coat, distinctive beard and eyebrows creating a peek-a-boo hairdo, and a loyal, intelligent disposition",,,Herding,"Ancient French herding breed developed for centuries to herd and guard flocks. Served as sentries, messengers, and pack animals for the French army during World War I. Nearly extinct after World War II but successfully revived. Recognized by the AKC in 1928.",QHeak9hrOm,"{'imperial': 'Male: 70-100; Female: 50-65', 'metric': 'Male: 32-45; Female: 23-29'}","{'imperial': 'Male: 23-27; Female: 22-25.5', 'metric': 'Male: 58-69; Female: 56-65'}","{'id': 'QHeak9hrOm', 'url': 'https://cdn4.thedogapi.com/optimized/QHeak9hrOm.jpg', 'width': 1200, 'height': 896}",Male: 32-45; Female: 23-29,23.0,45.0,32.25,Male: 58-69; Female: 56-65,56.0,69.0,62.0,10.0,12.0,11.0,large,"['Loyal', 'intelligent', 'protective', 'confident', 'courageous', 'devoted']"
59,Brittany,2,12-15,"Intelligent, energetic, eager to please, friendly, athletic, happy","Brittany (Bretagne), France",FR,FR,"Medium-sized, compact and leggy sporting dog with an athletic build and distinctive orange and white feathered coat. Known for its versatility in pointing and retrieving, this agile gundog combines high energy for hunting and field work with an intelligent and happy-go-lucky disposition.",,,Sporting,Developed in the 17th-18th century in the Brittany province of France as a versatile hunting dog capable of pointing and retrieving on various terrain. Refined through crosses with English Setters and recognized by AKC in 1934.,UXwmDN19MK,"{'imperial': '30-40', 'metric': '14-18'}","{'imperial': '17.5-20.5', 'metric': '44-52'}","{'id': 'UXwmDN19MK', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/7d55f697-6879-4616-af9d-668aa3226289.jpeg', 'width': 1200, 'height': 880}",14-18,14.0,18.0,16.0,44-52,44.0,52.0,48.0,12.0,15.0,13.5,medium,"['Intelligent', 'energetic', 'eager to please', 'friendly', 'athletic', 'happy']"
64,Bullmastiff,2,7-9,"Loyal, protective, calm, courageous, affectionate, confident",England,GB,GB,"Large, powerful guardian breed with short coat and calm, confident demeanor, originally bred to guard estates and known as 'The Gamekeeper's Night-Dog'",,,Working,Developed in mid-19th century England by gamekeepers crossing English Mastiff with Old English Bulldog to create an effective estate guard dog for tracking poachers,QdwFluBnbf,"{'imperial': 'Male: 110-130; Female: 100-120', 'metric': 'Male: 50-59; Female: 45-54'}","{'imperial': 'Male: 25-27; Female: 24-26', 'metric': 'Male: 64-69; Female: 61-66'}","{'id': 'QdwFluBnbf', 'url': 'https://cdn4.thedogapi.com/optimized/QdwFluBnbf.jpg', 'width': 1104, 'height': 960}",Male: 50-59; Female: 45-54,45.0,59.0,52.0,Male: 64-69; Female: 61-66,61.0,69.0,65.0,7.0,9.0,8.0,large,"['Loyal', 'protective', 'calm', 'courageous', 'affectionate', 'confident']"
61,Bull Terrier,2,12-13,"Playful, courageous, energetic, loyal, mischievous",England,GB,GB,"A muscular, well-built terrier best known for its distinctive long, egg-shaped head that slopes down to the nose. This confident breed combines a playful, mischievous personality with a courageous temperament.",,,Terrier,"Developed in 19th-century England by crossing old English Bulldogs with various terriers, originally for bull-baiting and dog fighting. James Hinks is credited with standardizing the breed and creating the distinctive egg-shaped head, earning them the nickname 'The White Cavalier'.",GfOO7ujhRd,"{'imperial': '50-70', 'metric': '23-32'}","{'imperial': '21-22', 'metric': '53-56'}","{'id': 'GfOO7ujhRd', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/19be57ef-e967-4330-81f3-83a7c1ac809c.jpeg', 'width': 1264, 'height': 848}",23-32,23.0,32.0,27.5,53-56,53.0,56.0,54.5,12.0,13.0,12.5,large,"['Playful', 'courageous', 'energetic', 'loyal', 'mischievous']"
62,Bull Terrier (Miniature),2,11-13,"Playful, energetic, courageous, confident, affectionate, outgoing",England,GB,GB,"Small, upstanding, and muscular terrier with a distinctive egg-shaped head and triangular eyes. This compact version of the Bull Terrier is known for being comical, mischievous, and lively with a squarely built frame.",,,Terrier,"Developed in 19th-century England as a scaled-down version of the standard Bull Terrier, which was standardized by James Hinks. Created for fanciers who wanted a smaller companion version while maintaining the same characteristics and recognized as a separate breed by the AKC in 1991.",C4GX7a8a4Z,"{'imperial': '20-33', 'metric': '9-15'}","{'imperial': '10-14', 'metric': '25-36'}","{'id': 'C4GX7a8a4Z', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/bac74252-a536-4cd7-bf5f-2db7a7690c97.jpeg', 'width': 1152, 'height': 928}",9-15,9.0,15.0,12.0,25-36,25.0,36.0,30.5,11.0,13.0,12.0,small,"['Playful', 'energetic', 'courageous', 'confident', 'affectionate', 'outgoing']"
65,Cairn Terrier,2,,"Alert, confident, friendly, intelligent, courageous, energetic",Scotland,GB,GB,"A small, sturdy working terrier with weather-resistant shaggy coat and alert expression, originating from the Scottish Highlands and known for its plucky, cheerful nature",,,Terrier,"Developed on the Isle of Skye in Scotland, one of the oldest terrier breeds. Originally used by farmers in the Scottish Highlands to hunt and flush out foxes and vermin from rock piles (cairns), which gave the breed its name. Recognized by the AKC in 1913.",AEtWWjCcLL,"{'imperial': 'Male: 14-16; Female: 13-15', 'metric': 'Male: 6-7.5; Female: 6-7'}","{'imperial': 'Male: 10-11; Female: 9.5-10.5', 'metric': 'Male: 25-28; Female: 24-27'}","{'id': 'AEtWWjCcLL', 'url': 'https://cdn4.thedogapi.com/optimized/AEtWWjCcLL.jpg', 'width': 1200, 'height': 896}",Male: 6-7.5; Female: 6-7,6.0,7.5,6.625,Male: 25-28; Female: 24-27,24.0,28.0,26.0,,,,small,"['Alert', 'confident', 'friendly', 'intelligent', 'courageous', 'energetic']"
67,Cane Corso,2,9-12,"Confident, protective, intelligent, loyal, affectionate",Italy,IT,IT,"Large, powerful Italian mastiff-type dog with muscular, athletic build and confident demeanor. This intelligent and majestic breed was historically used as a guardian and hunter, known for its loyalty to family.",,,Working,"Ancient Italian breed descended from Roman Molossian war dogs, developed as a versatile farmhand, guardian, and hunter of large game. The breed nearly faced extinction but was revived by enthusiasts in the 1970s.",YL15jJGIpO,"{'imperial': 'Male: 99-110; Female: 88-99', 'metric': 'Male: 45-50; Female: 40-45'}","{'imperial': 'Male: 25-27.5; Female: 23.5-26', 'metric': 'Male: 64-70; Female: 60-66'}","{'id': 'YL15jJGIpO', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/10d8fcaf-a0dd-4988-9e69-54002e3c4f83.png', 'width': 3060, 'height': 2242}",Male: 45-50; Female: 40-45,40.0,50.0,45.0,Male: 64-70; Female: 60-66,60.0,70.0,65.0,9.0,12.0,10.5,large,"['Confident', 'protective', 'intelligent', 'loyal', 'affectionate']"
68,Cardigan Welsh Corgi,2,12-15,"Affectionate, loyal, intelligent, alert, adaptable","Cardiganshire, Wales",GB,GB,"Low-set, sturdily built herding dog with a long body, fox-like brushy tail, and rounded ears, known for intelligence and versatility",,,Herding,"One of the oldest herding breeds, believed brought to Wales by Celtic tribes around 1200 BC, developed as versatile farm dogs for cattle herding and property guarding",pYG2KaqBK3,"{'imperial': 'Male: 30-38; Female: 25-34', 'metric': 'Male: 14-17; Female: 11-15'}","{'imperial': '10.5-12.5', 'metric': '27-32'}","{'id': 'pYG2KaqBK3', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/3c664674-c538-4c15-bab4-6ae3096dbcfb.png', 'width': 3046, 'height': 2284}",Male: 14-17; Female: 11-15,11.0,17.0,14.25,27-32,27.0,32.0,29.5,12.0,15.0,13.5,medium,"['Affectionate', 'loyal', 'intelligent', 'alert', 'adaptable']"
